timestamp,value,usdt,sol,price
1704434400000,1000.194515,975.700916,0.24117368,101.560000
1704438000000,1000.095633,975.700916,0.24117368,101.150000
1704441600000,1000.182456,975.700916,0.24117368,101.510000
1704445200000,1000.445335,975.700916,0.24117368,102.600000
1704448800000,999.734767,965.690916,0.34006444,100.110000
1704452400000,999.562892,960.685916,0.39025273,99.620000
1704456000000,999.945340,960.685916,0.39025273,100.600000
1704459600000,1000.015586,960.685916,0.39025273,100.780000
1704463200000,998.355730,938.163416,0.61767382,97.450000
1704466800000,998.713981,938.163416,0.61767382,98.030000
1704470400000,997.398648,925.650916,0.74659451,96.100000
1704474000000,998.690257,925.650916,0.74659451,97.830000
1704477600000,998.809712,925.650916,0.74659451,97.990000
1704481200000,998.779848,925.650916,0.74659451,97.950000
1704484800000,1000.041593,925.650916,0.74659451,99.640000
1704488400000,999.654898,920.645916,0.79678280,99.160000
1704492000000,999.694738,920.645916,0.79678280,99.210000
1704495600000,1000.276389,920.645916,0.79678280,99.940000
1704499200000,999.562252,915.640916,0.84726236,99.050000
1704502800000,998.960696,915.640916,0.84726236,98.340000
1704506400000,999.299601,915.640916,0.84726236,98.740000
1704510000000,999.231820,915.640916,0.84726236,98.660000
1704513600000,998.062268,910.635916,0.89824671,97.330000
1704517200000,995.152922,893.118416,1.08075952,94.410000
1704520800000,992.358003,875.600916,1.26868507,92.030000
1704524400000,995.491655,875.600916,1.26868507,94.500000
1704528000000,996.468543,875.600916,1.26868507,95.270000
1704531600000,996.137699,870.595916,1.32121430,95.020000
1704535200000,995.596001,870.595916,1.32121430,94.610000
1704538800000,995.384606,870.595916,1.32121430,94.450000
1704542400000,994.277448,865.590916,1.37426882,93.640000
1704546000000,995.074524,865.590916,1.37426882,94.220000
1704549600000,997.506980,865.590916,1.37426882,95.990000
1704553200000,996.388554,860.585916,1.42679805,95.180000
1704556800000,997.016345,860.585916,1.42679805,95.620000
1704560400000,998.685699,860.585916,1.42679805,96.790000
1704564000000,997.772548,860.585916,1.42679805,96.150000
1704567600000,996.129442,850.575916,1.53133642,95.050000
1704571200000,995.180013,850.575916,1.53133642,94.430000
1704574800000,995.486281,850.575916,1.53133642,94.630000
1704578400000,993.553029,845.570916,1.58439094,93.400000
1704582000000,994.139254,845.570916,1.58439094,93.770000
1704585600000,996.943626,845.570916,1.58439094,95.540000
1704589200000,994.688932,835.560916,1.68997468,94.160000
1704592800000,991.602679,825.550916,1.79768067,92.370000
1704596400000,992.555450,825.550916,1.79768067,92.900000
1704600000000,995.198040,825.550916,1.79768067,94.370000
1704603600000,994.515023,820.545916,1.85073519,94.000000
1704607200000,995.773523,820.545916,1.85073519,94.680000
1704610800000,996.828442,820.545916,1.85073519,95.250000
1704614400000,994.397971,815.540916,1.90354465,93.960000
1704618000000,992.936906,810.535916,1.95688221,93.210000
1704621600000,994.345862,810.535916,1.95688221,93.930000
1704625200000,995.519991,810.535916,1.95688221,94.530000
1704628800000,996.224468,810.535916,1.95688221,94.890000
1704632400000,998.827122,810.535916,1.95688221,96.220000
1704636000000,998.592296,810.535916,1.95688221,96.100000
1704639600000,994.269394,800.525916,2.06197827,93.960000
1704643200000,993.091414,795.520916,2.11531583,93.400000
1704646800000,995.016351,795.520916,2.11531583,94.310000
1704650400000,995.397108,795.520916,2.11531583,94.490000
1704654000000,995.947090,795.520916,2.11531583,94.750000
1704657600000,994.037837,790.515916,2.16812529,93.870000
1704661200000,991.773741,785.510916,2.22146285,92.850000
1704664800000,983.373913,762.988416,2.46819910,89.290000
1704668400000,983.741643,760.485916,2.49615080,89.440000
