timestamp,open,high,low,close,volume
1764892800000,139.01000000,139.09000000,138.90000000,139.06000000,3421.15200000
1764892860000,139.07000000,139.12000000,139.00000000,139.08000000,999.26500000
1764892920000,139.09000000,139.10000000,139.00000000,139.07000000,1441.42200000
1764892980000,139.07000000,139.14000000,139.03000000,139.14000000,764.40100000
1764893040000,139.14000000,139.15000000,139.07000000,139.12000000,707.26500000
1764893100000,139.12000000,139.27000000,139.04000000,139.26000000,2930.09700000
1764893160000,139.26000000,139.26000000,139.15000000,139.18000000,473.49700000
1764893220000,139.19000000,139.19000000,139.01000000,139.01000000,2720.73000000
1764893280000,139.02000000,139.15000000,138.95000000,139.13000000,1321.82700000
1764893340000,139.13000000,139.13000000,139.05000000,139.06000000,902.51800000
1764893400000,139.05000000,139.12000000,139.05000000,139.07000000,843.97200000
1764893460000,139.07000000,139.11000000,139.01000000,139.07000000,664.34800000
1764893520000,139.07000000,139.13000000,139.00000000,139.01000000,1202.25500000
1764893580000,139.01000000,139.01000000,138.91000000,138.96000000,799.27700000
1764893640000,138.96000000,138.97000000,138.91000000,138.93000000,326.04500000
1764893700000,138.94000000,139.04000000,138.93000000,139.02000000,826.76500000
1764893760000,139.02000000,139.09000000,138.99000000,139.03000000,788.04400000
1764893820000,139.03000000,139.04000000,138.92000000,138.93000000,790.08500000
1764893880000,138.92000000,139.03000000,138.92000000,139.03000000,1147.69600000
1764893940000,139.03000000,139.09000000,139.01000000,139.06000000,1111.92400000
1764894000000,139.06000000,139.07000000,138.96000000,138.98000000,672.15400000
1764894060000,138.97000000,139.10000000,138.96000000,139.10000000,1224.82800000
1764894120000,139.10000000,139.27000000,139.03000000,139.26000000,1839.62700000
1764894180000,139.25000000,139.50000000,139.24000000,139.49000000,1772.16400000
1764894240000,139.50000000,139.72000000,139.44000000,139.63000000,1959.74000000
1764894300000,139.63000000,139.63000000,139.45000000,139.57000000,1864.66200000
1764894360000,139.58000000,139.58000000,139.38000000,139.41000000,1987.96000000
1764894420000,139.41000000,139.48000000,139.40000000,139.40000000,1431.12800000
1764894480000,139.41000000,139.44000000,139.38000000,139.40000000,627.79800000
1764894540000,139.40000000,139.41000000,139.35000000,139.39000000,344.50900000
1764894600000,139.39000000,139.39000000,139.26000000,139.33000000,1591.13700000
1764894660000,139.33000000,139.49000000,139.32000000,139.46000000,762.83600000
1764894720000,139.45000000,139.56000000,139.45000000,139.56000000,779.30900000
1764894780000,139.56000000,139.60000000,139.50000000,139.50000000,1442.86700000
1764894840000,139.49000000,139.51000000,139.46000000,139.48000000,1707.70600000
1764894900000,139.48000000,139.48000000,139.24000000,139.29000000,1589.31600000
1764894960000,139.28000000,139.34000000,139.24000000,139.32000000,463.99400000
1764895020000,139.33000000,139.52000000,139.29000000,139.52000000,782.92700000
1764895080000,139.52000000,139.61000000,139.51000000,139.52000000,1545.24500000
1764895140000,139.52000000,139.52000000,139.45000000,139.47000000,1229.12500000
1764895200000,139.47000000,139.56000000,139.47000000,139.48000000,1401.22300000
1764895260000,139.47000000,139.55000000,139.47000000,139.52000000,452.00000000
1764895320000,139.53000000,139.58000000,139.51000000,139.58000000,1305.11700000
1764895380000,139.58000000,139.60000000,139.55000000,139.55000000,630.38100000
1764895440000,139.56000000,139.60000000,139.55000000,139.55000000,625.69200000
1764895500000,139.54000000,139.54000000,139.38000000,139.45000000,879.52200000
1764895560000,139.44000000,139.45000000,139.32000000,139.36000000,1605.95500000
1764895620000,139.36000000,139.41000000,139.33000000,139.34000000,342.18500000
1764895680000,139.34000000,139.48000000,139.27000000,139.47000000,572.70300000
1764895740000,139.48000000,139.55000000,139.47000000,139.53000000,406.31900000
1764895800000,139.53000000,139.53000000,139.36000000,139.36000000,4391.74700000
1764895860000,139.35000000,139.37000000,139.23000000,139.37000000,604.53900000
1764895920000,139.36000000,139.45000000,139.33000000,139.41000000,2063.99200000
1764895980000,139.41000000,139.47000000,139.40000000,139.42000000,886.35400000
1764896040000,139.41000000,139.41000000,139.23000000,139.25000000,1149.29200000
1764896100000,139.24000000,139.25000000,139.14000000,139.18000000,1232.20700000
1764896160000,139.19000000,139.26000000,139.11000000,139.25000000,1645.88300000
1764896220000,139.25000000,139.29000000,139.21000000,139.28000000,689.00000000
1764896280000,139.28000000,139.34000000,139.23000000,139.30000000,849.51500000
1764896340000,139.31000000,139.31000000,139.23000000,139.24000000,523.45700000
1764896400000,139.24000000,139.28000000,139.18000000,139.26000000,733.48600000
1764896460000,139.26000000,139.28000000,139.20000000,139.28000000,551.06400000
1764896520000,139.27000000,139.29000000,139.14000000,139.29000000,744.93600000
1764896580000,139.29000000,139.42000000,139.29000000,139.35000000,1421.57000000
1764896640000,139.35000000,139.45000000,139.32000000,139.45000000,468.94800000
1764896700000,139.44000000,139.52000000,139.44000000,139.49000000,1406.19100000
1764896760000,139.49000000,139.75000000,139.49000000,139.66000000,4400.98900000
1764896820000,139.66000000,139.77000000,139.58000000,139.71000000,1936.73700000
1764896880000,139.72000000,139.84000000,139.69000000,139.71000000,1394.56400000
1764896940000,139.71000000,139.72000000,139.60000000,139.69000000,1441.26900000
1764897000000,139.69000000,139.69000000,139.56000000,139.67000000,526.95600000
1764897060000,139.67000000,139.67000000,139.49000000,139.53000000,2858.19100000
1764897120000,139.53000000,139.53000000,139.41000000,139.42000000,1097.31000000
1764897180000,139.43000000,139.43000000,139.37000000,139.40000000,1303.81900000
1764897240000,139.40000000,139.40000000,139.21000000,139.30000000,655.30600000
1764897300000,139.29000000,139.48000000,139.28000000,139.47000000,354.63800000
1764897360000,139.48000000,139.70000000,139.46000000,139.66000000,1708.77800000
1764897420000,139.66000000,139.67000000,139.56000000,139.62000000,277.37300000
1764897480000,139.62000000,139.63000000,139.53000000,139.63000000,1457.18700000
1764897540000,139.64000000,139.68000000,139.51000000,139.56000000,1031.35300000
1764897600000,139.55000000,139.56000000,139.40000000,139.42000000,581.51000000
1764897660000,139.43000000,139.63000000,139.43000000,139.62000000,967.16000000
1764897720000,139.63000000,139.72000000,139.61000000,139.70000000,560.51000000
1764897780000,139.70000000,139.79000000,139.64000000,139.75000000,1375.60900000
1764897840000,139.76000000,139.82000000,139.75000000,139.81000000,299.74000000
1764897900000,139.81000000,139.90000000,139.78000000,139.90000000,935.17600000
1764897960000,139.90000000,139.90000000,139.75000000,139.79000000,859.25500000
1764898020000,139.78000000,139.90000000,139.78000000,139.89000000,701.22000000
1764898080000,139.90000000,140.20000000,139.90000000,140.05000000,4875.33400000
1764898140000,140.04000000,140.05000000,139.87000000,139.93000000,1162.45300000
1764898200000,139.92000000,139.96000000,139.87000000,139.93000000,1053.47200000
1764898260000,139.94000000,139.96000000,139.89000000,139.95000000,874.27200000
1764898320000,139.95000000,140.01000000,139.94000000,139.99000000,487.81600000
1764898380000,139.99000000,140.00000000,139.79000000,139.90000000,2119.69300000
1764898440000,139.90000000,139.92000000,139.79000000,139.80000000,1171.02700000
1764898500000,139.79000000,139.84000000,139.60000000,139.60000000,3129.30800000
1764898560000,139.59000000,139.74000000,139.59000000,139.73000000,351.59100000
1764898620000,139.74000000,139.74000000,139.65000000,139.68000000,580.60500000
1764898680000,139.68000000,139.85000000,139.68000000,139.80000000,2263.60100000
1764898740000,139.81000000,139.96000000,139.77000000,139.95000000,1446.11900000
1764898800000,139.95000000,139.95000000,139.91000000,139.91000000,476.80500000
1764898860000,139.92000000,140.00000000,139.91000000,139.95000000,4857.00600000
1764898920000,139.95000000,140.01000000,139.85000000,139.85000000,5721.93100000
1764898980000,139.86000000,139.97000000,139.85000000,139.86000000,682.90600000
1764899040000,139.85000000,139.90000000,139.85000000,139.88000000,507.04400000
1764899100000,139.88000000,139.88000000,139.75000000,139.80000000,2562.99300000
1764899160000,139.81000000,139.87000000,139.81000000,139.82000000,481.34300000
1764899220000,139.83000000,139.84000000,139.78000000,139.83000000,794.77100000
1764899280000,139.84000000,140.02000000,139.84000000,140.02000000,427.09300000
1764899340000,140.01000000,140.12000000,140.01000000,140.12000000,1517.08100000
1764899400000,140.12000000,140.12000000,140.00000000,140.02000000,914.22400000
1764899460000,140.02000000,140.15000000,140.02000000,140.06000000,280.82900000
1764899520000,140.05000000,140.08000000,139.93000000,139.98000000,2098.13600000
1764899580000,139.98000000,139.98000000,139.88000000,139.97000000,825.80900000
1764899640000,139.97000000,140.00000000,139.92000000,139.99000000,1659.32700000
1764899700000,139.99000000,140.03000000,139.89000000,139.89000000,1368.36200000
1764899760000,139.89000000,139.94000000,139.86000000,139.87000000,591.28600000
1764899820000,139.86000000,139.86000000,139.75000000,139.85000000,1457.20500000
1764899880000,139.85000000,139.87000000,139.78000000,139.79000000,411.67300000
1764899940000,139.78000000,139.84000000,139.78000000,139.82000000,736.55500000
1764900000000,139.83000000,139.83000000,139.52000000,139.52000000,2225.57100000
1764900060000,139.53000000,139.59000000,139.42000000,139.43000000,1327.98400000
1764900120000,139.43000000,139.63000000,139.43000000,139.47000000,2149.30200000
1764900180000,139.47000000,139.50000000,139.31000000,139.36000000,2266.54500000
1764900240000,139.36000000,139.49000000,139.25000000,139.49000000,1334.93500000
1764900300000,139.50000000,139.56000000,139.42000000,139.43000000,1480.06600000
1764900360000,139.43000000,139.55000000,139.43000000,139.52000000,1000.78700000
